Feature,Estimate,Std Error,t-stat,p-Value
SKILLS_VEC_168,-8272.5766,1467.0222, 2.3594, 0.0183
SKILLS_VEC_169, 3461.2577,1485.6264, 1.2050, 0.2282
SKILLS_VEC_170, 1790.1530,1978.8270, 0.4253, 0.6706
SKILLS_VEC_171, 841.5742,1592.0074,-6.1754, 0.0000
SKILLS_VEC_172,-9831.2286,1477.8073,-4.7431, 0.0000
SKILLS_VEC_173,-7009.4450,1703.6531, 0.8921, 0.3724
SKILLS_VEC_174, 1519.8068,1513.4359,-1.0902, 0.2756
SKILLS_VEC_175,-1649.9635,2069.4211, 2.5577, 0.0105
SKILLS_VEC_176, 5292.9690,1878.9208, 1.0039, 0.3154
SKILLS_VEC_177, 1886.1963,1325.4099, 2.6854, 0.0072
SKILLS_VEC_178, 3559.3157,1353.0299,-1.6383, 0.1014
SKILLS_VEC_179,-2216.6335,1357.1763,-1.1184, 0.2634
SKILLS_VEC_180,-1517.8349,1626.3173,-1.3238, 0.1856
SKILLS_VEC_181,-2152.8971,1445.8217,-2.9993, 0.0027
SKILLS_VEC_182,-4336.3810,1447.6855, 3.0766, 0.0021
SKILLS_VEC_183, 4453.9800,1390.0162, 4.0047, 0.0001
SKILLS_VEC_184, 5566.5957,1809.9997, 4.3360, 0.0000
SKILLS_VEC_185, 7848.2249,1290.7985,-0.5693, 0.5692
SKILLS_VEC_186,-734.8229,1704.2526,-0.4968, 0.6194
SKILLS_VEC_187,-846.6197,1466.8494,-5.5785, 0.0000
SKILLS_VEC_188,-8182.8153,1507.9687,-2.0356, 0.0418
SKILLS_VEC_189,-3069.6356,1730.3067, 1.0925, 0.2746
SKILLS_VEC_190, 1890.3569,1578.4370,-1.4798, 0.1390
SKILLS_VEC_191,-2335.6993,1310.8087,-0.0898, 0.9285
SKILLS_VEC_192,-117.6879,1399.5755,-1.1273, 0.2596
SKILLS_VEC_193,-1577.7187,1409.5111, 1.8178, 0.0691
SKILLS_VEC_194, 2562.2302,1559.2943, 0.6019, 0.5473
SKILLS_VEC_195, 938.4718,1512.1296,-0.2406, 0.8098
SKILLS_VEC_196,-363.8701,1390.1559,-1.8280, 0.0676
SKILLS_VEC_197,-2541.2670,1455.9204,-3.7878, 0.0002
SKILLS_VEC_198,-5514.6854,1559.5176, 6.1266, 0.0000
SKILLS_VEC_199, 9554.4637,1770.1946,-4.4372, 0.0000
SKILLS_VEC_200,-7854.6491,1812.9195, 3.8447, 0.0001
SKILLS_VEC_201, 6970.0695,1662.1535,-2.5827, 0.0098
SKILLS_VEC_202,-4292.7899,1710.7374,-0.1940, 0.8462
